Bankrupt?, ROA(C) before interest and depreciation before interest, Operating Gross Margin, Operating Profit Rate, Cash flow rate, Operating Profit Growth Rate, Total Asset Growth Rate, Current Ratio, Quick Ratio, Debt ratio %, Net worth/Assets
1,0.370594257,0.601457213,0.998969203,0.458143144,0.848194995,4980000000,0.002258963,0.001207755,0.207576261,0.792423739
1,0.464290937,0.610235086,0.998945978,0.461867257,0.848087884,6110000000,0.006016206,0.004039367,0.171176346,0.828823654
1,0.426071272,0.601450006,0.998857353,0.458520587,0.848094013,7280000000,0.011542554,0.00534756,0.207515796,0.792484204
1,0.399844001,0.583541129,0.998699747,0.465705443,0.848005477,4880000000,0.004194059,0.002896491,0.151464764,0.848535236
1,0.465022181,0.598783494,0.998973132,0.462746282,0.848258202,5510000000,0.006022446,0.003727447,0.106509055,0.893490945
1,0.388680349,0.590171378,0.998758098,0.465861453,0.847982832,608000000,0.002740085,0.000854661,0.180427487,0.819572513
0,0.390922829,0.619949841,0.998993121,0.461020105,0.848322469,5720000000,0.00467206,0.002869042,0.216101823,0.783898177
0,0.508360552,0.601738278,0.999008951,0.46702398,0.848082155,6630000000,0.00965738,0.007304548,0.108202074,0.891797926
0,0.488519475,0.603612044,0.998960768,0.463142179,0.848158762,6890000000,0.013498866,0.011823024,0.058590561,0.941409439
0,0.495685663,0.599208694,0.999000632,0.470575308,0.848083508,5550000000,0.011474535,0.007516653,0.121292741,0.878707259
0,0.482474528,0.614025858,0.998978447,0.46481803,0.848238168,747000000,0.006097329,0.003449214,0.103576503,0.896423497
0,0.444401111,0.623711786,0.998975327,0.465490719,0.847937105,5730000000,0.00862899,0.005122978,0.094385827,0.905614173
0,0.491151952,0.608130702,0.999044887,0.464100048,0.849688192,7220000000,0.006630869,0.004029385,0.144662454,0.855337546
0,0.474040852,0.600577985,0.998967008,0.467198443,0.848178819,6160000000,0.010100437,0.006446767,0.10656952,0.89343048
0,0.506703066,0.604685856,0.999052975,0.478766681,0.84816402,723000000,0.018859224,0.012023277,0.089639326,0.910360674
0,0.513820504,0.621773159,0.999096883,0.472093472,0.848020923,830000000,0.01133101,0.007063121,0.099071863,0.900928137
0,0.488909472,0.606523588,0.998996472,0.462196053,0.848274778,7030000000,0.006217765,0.004346296,0.061281253,0.938718747
0,0.53595281,0.618450828,0.999118837,0.470061985,0.848079849,6960000000,0.01615658,0.007383152,0.078725398,0.921274602
0,0.504070589,0.598343879,0.998988615,0.46844317,0.848046828,6340000000,0.007219946,0.004172245,0.141336881,0.858663119
0,0.487398235,0.63625881,0.999041651,0.465163601,0.847986149,6250000000,0.013358461,0.008200383,0.077485866,0.922514134
0,0.485253254,0.622176739,0.999065454,0.488241363,0.848007842,6460000000,0.026719417,0.022852523,0.096350939,0.903649061
0,0.504558085,0.607446057,0.999029981,0.470644087,0.848078496,6560000000,0.015759077,0.012931588,0.100734649,0.899265351
0,0.51201677,0.618933683,0.999058637,0.470652475,0.848575123,5750000000,0.007162536,0.005050612,0.146506636,0.853493364
0,0.49485692,0.6095072,0.999052397,0.464264446,0.848081555,6900000000,0.005166287,0.004563393,0.193034435,0.806965565
0,0.509969288,0.602956226,0.999024781,0.464603306,0.848112282,6140000000,0.005716051,0.004270812,0.194515827,0.805484173
